model,feature_space,k,n_init,covariance_type,reg_covar,val_ari,val_purity,val_combined,test_ari,test_purity,test_combined
KMeans,with_driver,3,10,,,0.02305359063514272,0.14580625430078753,0.16885984493593026,0.022469092069830394,0.14600076540375048,0.16846985747358087
KMeans,with_driver,3,20,,,0.02304050781282656,0.14580625430078753,0.1688467621136141,0.022449250729091968,0.14600076540375048,0.16845001613284244
KMeans,with_driver,3,40,,,0.023043229581425843,0.14576802507836992,0.16881125465979577,0.022472462364638544,0.14596249521622656,0.1684349575808651
GMM,with_driver,3,3,full,1e-06,0.07230996293351354,0.20746999006040218,0.2797799529939157,0.0733457652701246,0.20535782625334864,0.27870359152347324
GMM,with_driver,3,5,full,1e-06,0.07230996293351354,0.20746999006040218,0.2797799529939157,0.0733457652701246,0.20535782625334864,0.27870359152347324
GMM,with_driver,3,10,full,1e-06,0.07230996293351354,0.20746999006040218,0.2797799529939157,0.0733457652701246,0.20535782625334864,0.27870359152347324
GMM,with_driver,3,3,full,1e-05,0.07230996293351354,0.20746999006040218,0.2797799529939157,0.0733457652701246,0.20535782625334864,0.27870359152347324
GMM,with_driver,3,5,full,1e-05,0.07230996293351354,0.20746999006040218,0.2797799529939157,0.0733457652701246,0.20535782625334864,0.27870359152347324
GMM,with_driver,3,10,full,1e-05,0.07230996293351354,0.20746999006040218,0.2797799529939157,0.0733457652701246,0.20535782625334864,0.27870359152347324
GMM,with_driver,3,3,full,0.0001,0.09459401716335322,0.21549812676810154,0.3100921439314548,0.09363501162151729,0.21186375813241484,0.30549876975393214
GMM,with_driver,3,5,full,0.0001,0.09459401716335322,0.21549812676810154,0.3100921439314548,0.09363501162151729,0.21186375813241484,0.30549876975393214
GMM,with_driver,3,10,full,0.0001,0.10428320539876508,0.21557458521293676,0.31985779061170183,0.10251319052924071,0.21396861844623039,0.31648180897547107
GMM,with_driver,3,3,full,0.001,0.1705245309737664,0.2650049697989143,0.4355295007726807,0.16776549222711135,0.2638346727898967,0.43160016501700804
GMM,with_driver,3,5,full,0.001,0.1705245309737664,0.2650049697989143,0.4355295007726807,0.16776549222711135,0.2638346727898967,0.43160016501700804
GMM,with_driver,3,10,full,0.001,0.1705245309737664,0.2650049697989143,0.4355295007726807,0.16776549222711135,0.2638346727898967,0.43160016501700804
GMM,with_driver,3,3,tied,1e-06,0.010271238583062406,0.13640186558605397,0.1466731041691164,0.010371177140045467,0.13746651358591658,0.14783769072596203
GMM,with_driver,3,5,tied,1e-06,0.010271238583062406,0.13640186558605397,0.1466731041691164,0.010371177140045467,0.13746651358591658,0.14783769072596203
GMM,with_driver,3,10,tied,1e-06,0.010271238583062406,0.13640186558605397,0.1466731041691164,0.010371177140045467,0.13746651358591658,0.14783769072596203
GMM,with_driver,3,3,tied,1e-05,0.010258890589099883,0.13632540714121874,0.1465842977303186,0.010363838801490756,0.13742824339839266,0.1477920821998834
GMM,with_driver,3,5,tied,1e-05,0.010258890589099883,0.13632540714121874,0.1465842977303186,0.010363838801490756,0.13742824339839266,0.1477920821998834
GMM,with_driver,3,10,tied,1e-05,0.010258890589099883,0.13632540714121874,0.1465842977303186,0.010363838801490756,0.13742824339839266,0.1477920821998834
GMM,with_driver,3,3,tied,0.0001,0.010129960158713404,0.13628717791880113,0.14641713807751452,0.010190038519076683,0.1373134328358209,0.14750347135489758
GMM,with_driver,3,5,tied,0.0001,0.010129960158713404,0.13628717791880113,0.14641713807751452,0.010190038519076683,0.1373134328358209,0.14750347135489758
GMM,with_driver,3,10,tied,0.0001,0.010129960158713404,0.13628717791880113,0.14641713807751452,0.010190038519076683,0.1373134328358209,0.14750347135489758
GMM,with_driver,3,3,tied,0.001,0.0077914236368449965,0.13292300634605092,0.1407144299828959,0.008254315301028874,0.13425181783390738,0.14250613313493626
GMM,with_driver,3,5,tied,0.001,0.0077914236368449965,0.13292300634605092,0.1407144299828959,0.008254315301028874,0.13425181783390738,0.14250613313493626
GMM,with_driver,3,10,tied,0.001,0.00776020941605197,0.13257894334429238,0.14033915276034434,0.008258978965197502,0.13402219670876386,0.14228117567396137
GMM,with_driver,3,3,diag,1e-06,0.10581539077840252,0.21557458521293676,0.3213899759913393,0.10422561485621226,0.21396861844623039,0.3181942333024427
GMM,with_driver,3,5,diag,1e-06,0.10581539077840252,0.21557458521293676,0.3213899759913393,0.10422561485621226,0.21396861844623039,0.3181942333024427
GMM,with_driver,3,10,diag,1e-06,0.10581539077840252,0.21557458521293676,0.3213899759913393,0.10422561485621226,0.21396861844623039,0.3181942333024427
GMM,with_driver,3,3,diag,1e-05,0.14144532938920318,0.23728878354614266,0.37873411293534587,0.14016911360673304,0.23482587064676616,0.3749949842534992
GMM,with_driver,3,5,diag,1e-05,0.14144532938920318,0.23728878354614266,0.37873411293534587,0.14016911360673304,0.23482587064676616,0.3749949842534992
GMM,with_driver,3,10,diag,1e-05,0.14144532938920318,0.23728878354614266,0.37873411293534587,0.14016911360673304,0.23482587064676616,0.3749949842534992
GMM,with_driver,3,3,diag,0.0001,0.14835792809668596,0.23728878354614266,0.3856467116428286,0.14576965572324155,0.23482587064676616,0.3805955263700077
GMM,with_driver,3,5,diag,0.0001,0.14835792809668596,0.23728878354614266,0.3856467116428286,0.14576965572324155,0.23482587064676616,0.3805955263700077
GMM,with_driver,3,10,diag,0.0001,0.14835792809668596,0.23728878354614266,0.3856467116428286,0.14576965572324155,0.23482587064676616,0.3805955263700077
GMM,with_driver,3,3,diag,0.001,0.14900786809733743,0.2600351708846242,0.4090430389819616,0.14703737563365926,0.26012246460007654,0.4071598402337358
GMM,with_driver,3,5,diag,0.001,0.14900786809733743,0.2600351708846242,0.4090430389819616,0.14703737563365926,0.26012246460007654,0.4071598402337358
GMM,with_driver,3,10,diag,0.001,0.14900786809733743,0.2600351708846242,0.4090430389819616,0.14703737563365926,0.26012246460007654,0.4071598402337358
GMM,with_driver,3,3,spherical,1e-06,0.02107149749960842,0.14488875296276474,0.16596025046237317,0.01905307241568676,0.14313050133945657,0.16218357375514333
GMM,with_driver,3,5,spherical,1e-06,0.02107149749960842,0.14488875296276474,0.16596025046237317,0.01905307241568676,0.14313050133945657,0.16218357375514333
GMM,with_driver,3,10,spherical,1e-06,0.02107149749960842,0.14488875296276474,0.16596025046237317,0.01905307241568676,0.14313050133945657,0.16218357375514333
GMM,with_driver,3,3,spherical,1e-05,0.02107479650999369,0.14488875296276474,0.16596354947275843,0.01905307241568676,0.14313050133945657,0.16218357375514333
GMM,with_driver,3,5,spherical,1e-05,0.02107479650999369,0.14488875296276474,0.16596354947275843,0.01905307241568676,0.14313050133945657,0.16218357375514333
GMM,with_driver,3,10,spherical,1e-05,0.02107479650999369,0.14488875296276474,0.16596354947275843,0.01905307241568676,0.14313050133945657,0.16218357375514333
GMM,with_driver,3,3,spherical,0.0001,0.021036672049307308,0.14485052374034713,0.16588719578965444,0.018992836133112076,0.14290088021431305,0.1618937163474251
GMM,with_driver,3,5,spherical,0.0001,0.021036672049307308,0.14485052374034713,0.16588719578965444,0.018992836133112076,0.14290088021431305,0.1618937163474251
GMM,with_driver,3,10,spherical,0.0001,0.021036672049307308,0.14485052374034713,0.16588719578965444,0.018992836133112076,0.14290088021431305,0.1618937163474251
GMM,with_driver,3,3,spherical,0.001,0.020772753714995325,0.14446823151617097,0.1652409852311663,0.01888589910252462,0.1430156907768848,0.16190158987940942
GMM,with_driver,3,5,spherical,0.001,0.020772753714995325,0.14446823151617097,0.1652409852311663,0.01888589910252462,0.1430156907768848,0.16190158987940942
GMM,with_driver,3,10,spherical,0.001,0.020772753714995325,0.14446823151617097,0.1652409852311663,0.01888589910252462,0.1430156907768848,0.16190158987940942
KMeans,with_driver,5,10,,,0.02643485911943812,0.15341386956189312,0.17984872868133125,0.025712404449495973,0.15281285878300804,0.178525263232504
KMeans,with_driver,5,20,,,0.026420478697749186,0.15337564033947548,0.17979611903722467,0.025712404449495973,0.15281285878300804,0.178525263232504
KMeans,with_driver,5,40,,,0.02644029257871278,0.15341386956189312,0.1798541621406059,0.02574149460831483,0.15288939915805588,0.1786308937663707
GMM,with_driver,5,3,full,1e-06,0.15431947058806564,0.3043046104442236,0.45862408103228924,0.15273402847506534,0.30256410256410254,0.4552981310391679
GMM,with_driver,5,5,full,1e-06,0.15431947058806564,0.3043046104442236,0.45862408103228924,0.15273402847506534,0.30256410256410254,0.4552981310391679
GMM,with_driver,5,10,full,1e-06,0.15431947058806564,0.3043046104442236,0.45862408103228924,0.15273402847506534,0.30256410256410254,0.4552981310391679
GMM,with_driver,5,3,full,1e-05,0.15431947058806564,0.3043046104442236,0.45862408103228924,0.15273402847506534,0.30256410256410254,0.4552981310391679
GMM,with_driver,5,5,full,1e-05,0.14474904669027966,0.29933481152993346,0.4440838582202131,0.14333720227461724,0.29885189437428245,0.4421890966488997
GMM,with_driver,5,10,full,1e-05,0.14474904669027966,0.29933481152993346,0.4440838582202131,0.14333720227461724,0.29885189437428245,0.4421890966488997
GMM,with_driver,5,3,full,0.0001,0.15154368493098497,0.28354614267145806,0.435089827602443,0.14932276106735404,0.2814772292384233,0.4307999903057773
GMM,with_driver,5,5,full,0.0001,0.15154368493098497,0.28354614267145806,0.435089827602443,0.14932276106735404,0.2814772292384233,0.4307999903057773
GMM,with_driver,5,10,full,0.0001,0.15154368493098497,0.28354614267145806,0.435089827602443,0.14932276106735404,0.2814772292384233,0.4307999903057773
