n_components,covariance_type,bic,aic
3,full,1065587.9165123329,1064344.364821224
3,tied,1201895.8202393197,1201320.4455762694
3,diag,1533216.2376785527,1532752.225853512
3,spherical,1597250.36465585,1596981.2377973264
4,full,1054064.5831370272,1052403.4208033818
4,tied,1187465.6201576982,1186806.7233661404
4,diag,1500825.4829347932,1500203.7070892388
4,spherical,1559289.033371202,1558927.1041476703
5,full,1044929.3459753523,1042850.5729991703
5,tied,1184047.446059229,1183305.027139164
5,diag,1444641.4908872286,1443861.9510211605
5,spherical,1521479.929367914,1521025.1977793742
6,full,1040215.1437929724,1037718.7601742538
6,tied,1183658.0742290528,1182832.1331804805
6,diag,1412382.2877620962,1411444.983875514
6,spherical,1482755.795328814,1482208.2613752661
7,full,1036990.538580011,1034076.5443187559
7,tied,1174827.8653156215,1173918.402138542
7,diag,1392983.1587047284,1391888.0907976325
7,spherical,1458659.1666053473,1458018.8302867913
8,full,1032676.4925999132,1029344.8876961215
8,tied,1171625.1873459895,1170632.2020404027
8,diag,1379070.248898833,1377817.4169712234
8,spherical,1438779.2303621985,1438046.0916786343
9,full,1028311.925127999,1024562.7095816708
9,tied,1161544.0030160707,1160467.4955819764
9,diag,1358840.0499080748,1357429.4539599512
9,spherical,1425461.3959792764,1424635.454930704
10,full,1026906.0250995994,1022739.1989107346
10,tied,1153324.2347597682,1152164.2051971667
10,diag,1350465.1356417222,1348896.775673085
10,spherical,1416597.7164123945,1415678.9729988142
11,full,1022713.4568308942,1018129.0199994929
11,tied,1146824.4905757718,1145580.938884663
11,diag,1336999.8430693334,1335273.7190801823
11,spherical,1408780.2609982118,1407768.7152196232
12,full,1020301.4522151765,1015299.4047412386
12,tied,1146442.0031023752,1145114.929282759
12,diag,1328527.9893155226,1326644.1013058578
12,spherical,1397705.3557997125,1396601.0076561158
13,full,1016811.5675147136,1011391.9093982391
13,tied,1145272.9979678746,1143862.402019751
13,diag,1322180.2320206761,1320138.5799904973
13,spherical,1392950.7531134402,1391753.6026048355
14,full,1016591.027065697,1010753.758306686
14,tied,1138769.6133154875,1137275.4952388566
14,diag,1310565.050143915,1308365.6340932224
14,spherical,1384926.512278277,1383636.559404664
15,full,1014415.093650264,1008160.2142487164
15,tied,1139224.1178658076,1137646.4776606695
15,diag,1306372.1007792572,1304014.920708051
15,spherical,1378968.9050810344,1377586.1498424134
16,full,1013676.21917484,1007003.7291307559
16,tied,1128500.4405722448,1126839.2782385994
16,diag,1303126.5555852933,1300611.611493573
16,spherical,1373073.0173746052,1371597.459770976
17,full,1012511.6099394902,1005421.5092528695
17,tied,1133691.0804666998,1131946.3960045471
17,diag,1299172.0777023078,1296499.3695900738
17,spherical,1368869.4246135573,1367301.06464492
18,full,1010152.5930812536,1002644.8817520962
18,tied,1130051.2962259192,1128223.089635259
18,diag,1290700.48156892,1287870.0094361722
18,spherical,1362833.710408834,1361172.5480751886
19,full,1011288.7308262411,1003363.4088545472
19,tied,1130089.307674809,1128177.5789556415
19,diag,1287444.5296589758,1284456.293505714
19,spherical,1359761.0445333805,1358007.0798347269
20,full,1008805.990986435,1000463.0583722045
20,tied,1128669.3297449017,1126674.078897227
20,diag,1283579.484987202,1280433.4848134266
20,spherical,1356117.8910880564,1354271.1240243947
21,full,1007394.516683313,998633.973426546
21,tied,1123417.3209787393,1121338.5480025574
21,diag,1280270.845270959,1276967.0810766697
21,spherical,1352083.9693982964,1350144.3999696267
22,full,1006499.1568905357,997321.0029912322
22,tied,1122824.3391796385,1120662.0440749493
22,diag,1275644.5342403902,1272183.0060255872
22,spherical,1347114.2316644662,1345081.8598707882
23,full,1006038.4829087021,996442.718366862
23,tied,1122565.269593716,1120319.4523605192
23,diag,1272278.8037621663,1268659.5115268494
23,spherical,1344442.3469784663,1342317.1728197802
24,full,1005907.3314674238,995893.9562830471
24,tied,1120180.6006231064,1117851.2612614024
24,diag,1271444.0356700954,1267666.9794142647
24,spherical,1342179.540876168,1339961.564352474
25,full,1003237.0499136881,992806.0640867748
25,tied,1114982.6385378614,1112569.7770476502
25,diag,1265386.9882635868,1261452.1679872423
25,spherical,1340346.1114238023,1338035.3325351
